status/scripts,REPORTID,USERID,REPORTTYPEID,ADDEDBY,HOSTID,LATITUDE,LONGITUDE,RADIUSIMPACT,DESCRIPTION,PRICE,REPORTSTATUSID,DATE,TIME,CREATEDTIME,LASTMODIFIEDTIME,ADDRESS,TOTALNUMBERINJURED,TOTALNUMBERKILLED,VEHICLETYPECODE
,,,,,,5206181.82058,-7913540.66187,,,,,2016-01-05,08:53:00,,,,,,
,,,,,,5204017.82767,-7913790.75396,,,,,2016-01-05,10:02:00,,,,,,
,,,,,,5210467.79924,-7910029.86755,,,,,2016-01-05,12:06:00,,,,,,
,,,,,,5201161.18165,-7914134.32421,,,,,2016-01-05,06:19:00,,,,,,
,,,,,,5203866.56094,-7913797.18721,,,,,2016-01-05,07:48:00,,,,,,
,,,,,,5203866.56094,-7913797.18721,,,,,2016-01-05,08:19:00,,,,,,
,,,,,,5201937.7322,-7919678.6033,,,,,2016-01-06,01:48:00,,,,,,
,,,,,,5203390.36377,-7921183.75706,,,,,2016-01-06,08:12:00,,,,,,
,,,,,,5207079.46493,-7909708.33144,,,,,2016-01-06,09:07:00,,,,,,
,,,,,,5204587.6924,-7909141.96821,,,,,2016-01-06,10:17:00,,,,,,
,,,,,,5208798.9279,-7912146.26051,,,,,2016-01-06,08:06:00,,,,,,
,,,,,,5209038.10671,-7910327.07612,,,,,2016-01-06,10:20:00,,,,,,
,,,,,,5212985.82353,-7920723.77383,,,,,2016-01-06,11:14:00,,,,,,
,,,,,,5213931.0282,-7911197.22185,,,,,2016-01-07,12:14:00,,,,,,
,,,,,,5213931.0282,-7911197.22185,,,,,2016-01-07,12:15:00,,,,,,
,,,,,,5203152.63383,-7919520.64153,,,,,2016-01-07,09:34:00,,,,,,
,,,,,,5213879.07151,-7913522.00376,,,,,2016-01-07,10:31:00,,,,,,
,,,,,,5203552.86658,-7909262.52487,,,,,2016-01-07,05:01:00,,,,,,
,,,,,,5210521.34696,-7907376.21874,,,,,2016-01-07,06:01:00,,,,,,
,,,,,,5207688.62485,-7911906.36813,,,,,2016-01-07,09:19:00,,,,,,
,,,,,,5209991.25394,-7910576.57748,,,,,2016-01-07,10:11:00,,,,,,
,,,,,,5205980.57221,-7909031.63834,,,,,2016-01-08,04:44:00,,,,,,
,,,,,,5203945.59888,-7908341.9134,,,,,2016-01-08,12:46:00,,,,,,
,,,,,,5208491.67541,-7912912.34268,,,,,2016-01-08,04:48:00,,,,,,
,,,,,,5218142.02121,-7906396.59951,,,,,2016-01-08,05:16:00,,,,,,
,,,,,,5203252.68779,-7913369.89168,,,,,2016-01-08,09:20:00,,,,,,
,,,,,,5204008.2603,-7913766.75721,,,,,2016-01-08,11:59:00,,,,,,
,,,,,,5201753.61942,-7915458.68632,,,,,2016-01-09,12:26:00,,,,,,
,,,,,,5211637.49111,-7910953.80802,,,,,2016-01-09,02:22:00,,,,,,
,,,,,,5210817.22963,-7911630.2981,,,,,2016-01-09,02:59:00,,,,,,
,,,,,,5217924.41255,-7910163.10307,,,,,2016-01-09,02:36:00,,,,,,
,,,,,,5206252.85012,-7910340.66718,,,,,2016-01-09,09:10:00,,,,,,
,,,,,,5212281.76887,-7912882.48803,,,,,2016-01-09,11:31:00,,,,,,
,,,,,,5203194.761,-7918120.2372,,,,,2016-01-10,01:53:00,,,,,,
,,,,,,5213004.28967,-7910722.88046,,,,,2016-01-10,05:38:00,,,,,,
,,,,,,5211075.03203,-7910798.18011,,,,,2016-01-10,06:58:00,,,,,,
,,,,,,5204171.61348,-7914133.32126,,,,,2016-01-11,03:12:00,,,,,,
,,,,,,5210849.3042,-7912176.76447,,,,,2016-01-11,07:59:00,,,,,,
,,,,,,5210331.91134,-7912894.60313,,,,,2016-01-11,02:50:00,,,,,,
,,,,,,5211676.9122,-7916004.4328,,,,,2016-01-11,05:40:00,,,,,,
,,,,,,5211437.76921,-7914178.95526,,,,,2016-01-11,06:18:00,,,,,,
,,,,,,5203348.15047,-7918454.41252,,,,,2016-01-11,06:52:00,,,,,,
,,,,,,5204043.81001,-7920202.05061,,,,,2016-01-11,10:02:00,,,,,,
,,,,,,5211600.74559,-7914815.48684,,,,,2016-01-12,08:12:00,,,,,,
,,,,,,5202906.13257,-7917132.34673,,,,,2016-01-12,07:52:00,,,,,,
,,,,,,5204616.73506,-7917274.20899,,,,,2016-01-12,08:15:00,,,,,,
,,,,,,5207413.15384,-7911976.50142,,,,,2016-01-12,10:55:00,,,,,,
,,,,,,5210892.4227,-7911609.81409,,,,,2016-01-12,11:50:00,,,,,,
,,,,,,5203722.90025,-7913896.76837,,,,,2016-01-12,12:26:00,,,,,,
,,,,,,5201427.52547,-7914103.63267,,,,,2016-01-12,02:32:00,,,,,,
,,,,,,5203178.21161,-7916886.81365,,,,,2016-01-12,03:37:00,,,,,,
,,,,,,5206265.13978,-7911932.9749,,,,,2016-01-13,05:19:00,,,,,,
,,,,,,5202762.93807,-7917287.49231,,,,,2016-01-13,07:10:00,,,,,,
,,,,,,5205229.31629,-7913979.18706,,,,,2016-01-13,07:39:00,,,,,,
,,,,,,5210275.74214,-7913215.55142,,,,,2016-01-13,11:37:00,,,,,,
,,,,,,5211368.8213,-7908610.61387,,,,,2016-01-13,12:49:00,,,,,,
,,,,,,5205519.08332,-7908851.64491,,,,,2016-01-13,05:12:00,,,,,,
,,,,,,5209242.98684,-7911721.21333,,,,,2016-01-14,04:47:00,,,,,,
,,,,,,5211348.40546,-7910902.86776,,,,,2016-01-14,05:37:00,,,,,,
